time	TriggeredState-name	TriggeredState-state	[00].VehicleUpdate-pos.001	[00].VehicleUpdate-pos.002	[00].VehicleUpdate-pos.003	[00].VehicleUpdate-pos.004	[00].VehicleUpdate-pos.005	[00].VehicleUpdate-pos.006	[00].VehicleUpdate-speed.001	[00].VehicleUpdate-speed.002	[00].VehicleUpdate-speed.003	[00].VehicleUpdate-speed.004	[00].VehicleUpdate-speed.005	[00].VehicleUpdate-speed.006	[00].VehicleUpdate-accel.001	[00].VehicleUpdate-accel.002	[00].VehicleUpdate-accel.003	[00].VehicleUpdate-accel.004	[00].VehicleUpdate-accel.005	[00].VehicleUpdate-accel.006	[00].VehicleUpdate-consumption	[00].VehicleUpdate-accelerator	[00].VehicleUpdate-brake	Last_TimeMarker
0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
0.05	null	null	-1724.94249505	7784.15033161	-0.00178834299503	-1.57079971568	-0.000433375224344	3.75035846226e-06	0.00121015042532	-4.98616718687e-05	-0.0521013699472	1.74516387119e-07	-0.0200308375061	0.000124096666696	0.0795898810029	-0.00069422920933	-1.06117808819	-7.2065347922e-05	-0.42260953784	5.172843521e-05	0	0	0	
0.1	null	null	-1724.94249476	7784.14949419	-0.00726786166912	-1.57079979793	-0.00177489620998	9.15449202539e-06	0.00357078271918	-5.54357429792e-05	-0.0882398635149	-2.02530031856e-06	-0.0345199815929	9.72208217718e-05	0.0381597205997	0.000205703385291	-0.494090765715	-5.22226764588e-06	-0.225451901555	-0.000749589351472	0	0	0	
0.15	null	null	-1724.94249485	7784.14808995	-0.0158680074211	-1.57079994961	-0.00393918599472	1.32862884974e-05	0.00480237789452	-2.97745627904e-05	-0.0993726477027	-1.42116084589e-06	-0.0401295088232	4.99779162055e-05	0.0173769313842	0.000769021746237	0.0503831841052	0.000331137125613	0.0652415528893	-0.000943588500377	9.26447853544e-07	1	0	
0.2	null	null	-1724.94249487	7784.14634997	-0.0232604811968	-1.57079980893	-0.00589217791404	1.47151673743e-05	0.0450333766639	6.35765263723e-06	-0.0883628427982	1.19471360449e-05	-0.0516975149512	1.81798568519e-05	1.23759222031	0.000791711441707	0.341078221798	0.000266596238362	-0.347952455282	-0.000828875228763	0	0.00463975872844	0	
0.25	null	null	-1724.94249493	7784.14251101	-0.0303221018003	-1.57079921641	-0.00811232877859	1.44368659917e-05	0.0552537404001	3.03017241094e-05	-0.0678826868534	1.36468333949e-05	-0.0330784581602	-2.54007445619e-05	-0.0491763874888	0.000539600034244	0.477464705706	9.88067768048e-05	0.636115729809	-0.00074333534576	2.28286598514e-08	0.0283374860883	0	
0.3	null	null	-1724.94249494	7784.13941243	-0.0342520106822	-1.57079857337	-0.00899582155669	1.2581117107e-05	0.0530632548034	4.55478912045e-05	-0.0421384721994	1.30879479912e-05	-0.0042389575392	-4.66418714495e-05	-0.0567721165717	0.000286537921056	0.584122002125	2.70325454039e-05	0.547846734524	-0.000357808487024	5.48323981775e-08	0.0471775978804	0	
0.35	null	null	-1724.94249465	7784.13672152	-0.0349726549748	-1.57079786895	-0.00853189777225	9.83668872502e-06	0.0528537258506	5.1136539696e-05	-0.0105269774795	1.23427571452e-05	0.0176352467388	-4.37927883468e-05	0.0694952532649	5.6087395933e-05	0.482379257679	4.30930776929e-05	0.19956497848	0.000309765717248	1.12490937454e-07	0.0961005240679	0	
0.4	null	null	-1724.94249404	7784.13454579	-0.0336336803654	-1.57079721105	-0.00760410369224	8.22372791551e-06	0.0591698847711	5.03784212924e-05	0.00585377961397	1.59885421454e-05	0.0187423098832	-2.19365101657e-05	0.184601485729	8.82382082636e-05	0.214843988419	0.000147895421833	-0.10098284483	0.000367221742636	1.78350418878e-07	0.149438157678	0	
0.45	null	null	-1724.94249325	7784.1318081	-0.0320866382608	-1.57079622438	-0.0068780513733	7.73320455682e-06	0.0720538198948	5.55243132112e-05	0.0115741211921	2.64564660029e-05	0.0109678730369	2.28115118261e-06	0.331250786781	0.000315168639645	0.0477601066232	0.000340261642123	-0.173349171877	0.000356812757673	2.47794162078e-07	0.203530132771	0	
0.5	null	null	-1724.94249236	7784.12806205	-0.0309954327812	-1.57079458938	-0.00654337117885	8.27929208971e-06	0.0923398956656	7.18002993381e-05	0.0115274796262	4.29137835454e-05	0.00340453512035	2.04831267183e-05	0.480890661478	0.000690885412041	-0.0380256287754	0.000531132915057	-0.118014268577	0.000280659354758	3.13390842166e-07	0.258061528206	0	
0.55	null	null	-1724.94249124	7784.12207998	-0.0303548351631	-1.57079147077	-0.00651114820357	9.73116506334e-06	0.124903351068	0.00010976674821	0.00820670556277	7.19612726243e-05	-0.0016341911396	3.25109576806e-05	0.669989407063	0.000981673249044	-0.0697801560163	0.000717150978744	-0.0602961778641	0.000223711627768	3.81569776664e-07	0.311753958464	0	
0.6	null	null	-1724.94249024	7784.11514221	-0.0302054152608	-1.57078724717	-0.00665407999717	1.13503636378e-05	0.161481395364	0.00015740969684	0.00513766892254	0.000105117556814	-0.00409929594025	3.83001752198e-05	0.826100945473	0.00150048744399	-0.0529633797705	0.000985759194009	-0.0325448028743	0.000409434665926	4.57450113345e-07	0.366740852594	0	
0.65	null	null	-1724.94248897	7784.10611856	-0.0303482899289	-1.57078113194	-0.00692333622272	1.33626453729e-05	0.208477288485	0.000223764815019	0.00319141126238	0.000151418615133	-0.00677608838305	4.81038696307e-05	1.04175579548	0.0020765569061	-0.0288713760674	0.00150018639397	-0.0362585894763	0.00078786019003	5.22241123235e-07	0.419837445021	0	
